New Terminal Output:

root@f753479266fc:/app# cat > peaks2.py << 'EOF'
> import numpy as np
> data = np.loadtxt('graphene.dat', delimiter=None,
>                   converters={0: lambda s: float(s.replace(',','.')),
>                               1: lambda s: float(s.replace(',','.'))})
> x = data[:,0]; y = data[:,1]
> mask = (y[1:-1] > y[:-2]) & (y[1:-1] >= y[2:])
> idx = np.where(mask)[0] + 1
> print('num local maxima:', len(idx))
> for i in idx:
>     print(f'  x={x[i]:10.3f}  y={y[i]:10.2f}')
  x=  8461.006  y=   8342.41
  x=  8376.734  y=   8316.31
  x=  8327.037  y=   8164.65
  x=  8294.259  y=   8363.21
  x=  8245.612  y=   8157.44
  x=  8197.580  y=   7971.74
  x=  8134.474  y=   8075.68
  x=  8103.314  y=   8075.81
  x=  8041.765  y=   7865.41
  x=  8011.370  y=   7868.77
  x=  7981.224  y=   7898.88
  x=  7951.323  y=   7777.67
  x=  7921.665  y=   7736.62
  x=  7892.247  y=   7976.78
  x=  7863.065  y=   7931.25
  x=  7819.730  y=   7694.40
  x=  7776.912  y=   7796.94
  x=  7748.650  y=   7628.98
  x=  7720.610  y=   7580.77
  x=  7678.963  y=   7463.29
  x=  7624.190  y=   7546.12
  x=  7543.611  y=   7459.08
  x=  7490.917  y=   7443.79
  x=  7426.171  y=   7413.60
  x=  7400.613  y=   7416.83
  x=  7350.072  y=   7234.34
  x=  7300.282  y=   7144.48
  x=  7251.225  y=   7111.57
  x=  7214.904  y=   7041.94
  x=  7190.911  y=   6973.97
  x=  7167.092  y=   7058.76
  x=  7119.971  y=   6878.31
  x=  7062.019  y=   6757.36
  x=  7039.127  y=   6806.23
  x=  6971.422  y=   7024.81
  x=  6927.075  y=   6852.23
  x=  6894.221  y=   6707.61
  x=  6872.509  y=   6612.33
  x=  6818.882  y=   6620.08
  x=  6797.688  y=   6655.12
  x=  6755.736  y=   6375.98
  x=  6734.973  y=   6440.38
  x=  6704.092  y=   6528.06
  x=  6653.314  y=   6389.12
  x=  6633.240  y=   6558.14
  x=  6613.300  y=   6520.97
  x=  6564.025  y=   6426.05
  x=  6544.543  y=   6426.37
  x=  6505.959  y=   6443.41
  x=  6467.878  y=   6467.41
  x=  6439.639  y=   6745.17
  x=  6329.372  y=  13777.74
  x=  6205.916  y=   6316.02
  x=  6180.156  y=   6141.63
  x=  6154.633  y=   5746.53
  x=  6120.966  y=   5637.43
  x=  6104.287  y=   5718.46
  x=  6079.457  y=   5535.92
  x=  6063.029  y=   5497.00
  x=  6046.700  y=   5600.91
  x=  6030.469  y=   5523.67
  x=  5998.299  y=   5564.35
  x=  5974.422  y=   5417.40
  x=  5958.622  y=   5384.27
  x=  5935.097  y=   5341.64
  x=  5911.779  y=   5230.28
  x=  5896.348  y=   5265.81
  x=  5873.370  y=
[... output limited to 10000 bytes; 71 interior bytes omitted ...]
88  y=   3817.59
  x=  1814.061  y=   3810.01
  x=  1813.335  y=   3779.24
  x=  1812.248  y=   3794.77
  x=  1811.163  y=   3847.99
  x=  1810.441  y=   3861.67
  x=  1809.000  y=   3972.45
  x=  1807.921  y=   3745.88
  x=  1806.129  y=   4406.46
  x=  1804.342  y=   4161.36
  x=  1803.629  y=   4114.97
  x=  1801.850  y=   4058.29
  x=  1800.786  y=   4135.35
  x=  1799.370  y=   3929.94
  x=  1798.663  y=   3910.09
  x=  1797.253  y=   4096.81
  x=  1795.495  y=   3982.42
  x=  1793.744  y=   4176.52
  x=  1792.346  y=   4155.63
  x=  1791.300  y=   4072.87
  x=  1789.562  y=   4237.70
  x=  1788.522  y=   4131.83
  x=  1787.829  y=   4331.43
  x=  1787.138  y=   4049.65
  x=  1786.447  y=   3894.40
  x=  1785.758  y=   4032.65
  x=  1783.694  y=   4503.99
  x=  1783.008  y=   4227.83
  x=  1781.638  y=   4183.88
  x=  1780.614  y=   4425.25
  x=  1779.932  y=   4358.50
  x=  1778.570  y=   4345.23
  x=  1777.890  y=   4252.00
  x=  1776.196  y=   4305.05
  x=  1775.519  y=   4259.87
  x=  1774.844  y=   4339.73
  x=  1774.169  y=   4460.12
  x=  1773.159  y=   4277.36
  x=  1772.486  y=   4332.51
  x=  1771.479  y=   4277.16
  x=  1770.808  y=   4467.07
  x=  1769.470  y=   4424.54
  x=  1767.137  y=   4420.43
  x=  1766.472  y=   4420.72
  x=  1764.814  y=   4669.48
  x=  1763.491  y=   4610.88
  x=  1762.171  y=   4619.13
  x=  1760.855  y=   4513.55
  x=  1760.199  y=   4799.31
  x=  1759.215  y=   4642.67
  x=  1758.560  y=   4481.96
  x=  1757.580  y=   4537.60
  x=  1756.927  y=   4519.74
  x=  1755.624  y=   4597.62
  x=  1754.974  y=   4816.16
  x=  1754.000  y=   4604.11
  x=  1753.028  y=   4740.43
  x=  1751.736  y=   4730.60
  x=  1751.090  y=   4586.16
  x=  1749.802  y=   4787.19
  x=  1749.159  y=   4617.46
  x=  1747.876  y=   4741.11
  x=  1747.236  y=   4679.25
  x=  1745.957  y=   4850.70
  x=  1744.682  y=   4660.38
  x=  1743.728  y=   4625.03
  x=  1742.775  y=   4648.66
  x=  1741.825  y=   4905.84
  x=  1741.192  y=   4951.32
  x=  1740.560  y=   4753.72
  x=  1739.613  y=   4875.77
  x=  1738.354  y=   5016.03
  x=  1737.412  y=   4957.08
  x=  1736.158  y=   4852.91
  x=  1735.532  y=   4952.28
  x=  1734.595  y=   4971.22
  x=  1733.971  y=   5015.45
  x=  1733.037  y=   4890.22
  x=  1732.415  y=   4962.98
  x=  1731.794  y=   4918.34
  x=  1730.864  y=   4962.71
  x=  1729.935  y=   4990.82
  x=  1728.700  y=   4759.67
  x=  1727.775  y=   5034.44
  x=  1727.160  y=   5331.08
  x=  1726.546  y=   5060.50
  x=  1725.625  y=   5206.34
  x=  1725.012  y=   5040.11
  x=  1724.095  y=   4858.10
  x=  1722.874  y=   4990.22
  x=  1722.265  y=   4945.46
  x=  1721.352  y=   5051.03
  x=  1720.745  y=   5231.98
  x=  1720.138  y=   5094.31
  x=  1719.229  y=   5152.69
  x=  1718.322  y=   5180.74
  x=  1717.718  y=   5085.09
  x=  1716.212  y=   5140.04
  x=  1715.611  y=   5030.77
  x=  1714.411  y=   5109.20
  x=  1713.513  y=   5322.28
  x=  1712.617  y=   5113.50
  x=  1712.020  y=   5122.35
  x=  1711.126  y=   5087.82
  x=  1710.531  y=   5186.46
  x=  1708.455  y=   5465.05
  x=  1707.863  y=   5304.22
  x=  1707.272  y=   5498.47
  x=  1705.798  y=   5167.69
  x=  1705.209  y=   5246.66
  x=  1704.328  y=   5339.62
  x=  1703.741  y=   5587.30
  x=  1702.570  y=   5256.54
  x=  1701.985  y=   5531.56
  x=  1700.527  y=   5421.01
  x=  1698.493  y=   5587.34
  x=  1697.045  y=   5524.38
  x=  1696.467  y=   5540.47
  x=  1695.601  y=   5659.82
  x=  1694.162  y=   5473.52
  x=  1693.588  y=   5584.86
  x=  1693.014  y=   5548.97
  x=  1692.441  y=   5532.76
  x=  1691.869  y=   5330.87
  x=  1691.297  y=   5331.88
  x=  1690.726  y=   5649.20
  x=  1689.871  y=   5619.42
  x=  1689.017  y=   5623.64
  x=  1688.449  y=   5772.78
  x=  1687.881  y=   5783.28
  x=  1687.031  y=   5640.18
  x=  1686.182  y=   5799.24
  x=  1685.618  y=   5678.36
  x=  1684.490  y=   5703.48
  x=  1683.646  y=   5942.17
  x=  1682.803  y=   5839.85
  x=  1681.962  y=   5876.15
  x=  1681.122  y=   5727.33
  x=  1680.564  y=   5646.36
  x=  1679.448  y=   5748.37
  x=  1678.613  y=   5767.39
  x=  1677.224  y=   5965.27
  x=  1676.393  y=   5751.25
  x=  1675.840  y=   5729.22
  x=  1675.011  y=   5918.60
  x=  1673.908  y=   5788.41
  x=  1673.358  y=   6135.36
  x=  1672.259  y=   6002.17
  x=  1671.711  y=   5963.14
  x=  1671.163  y=   5986.91
  x=  1670.342  y=   5924.20
  x=  1669.523  y=   5543.75
  x=  1668.978  y=   5614.96
  x=  1668.434  y=   5756.21
  x=  1666.804  y=   6228.42
  x=  1665.180  y=   6020.07
  x=  1663.830  y=   6043.79
  x=  1661.948  y=   6015.21
  x=  1661.412  y=   6017.72
  x=  1660.876  y=   6152.58
  x=  1660.074  y=   6474.28
  x=  1659.540  y=   6274.79
  x=  1658.473  y=   6013.73
  x=  1657.675  y=   6086.87
  x=  1656.083  y=   6410.16
  x=  1655.288  y=   6325.17
  x=  1654.760  y=   6356.87
  x=  1652.914  y=   6214.28
  x=  1652.389  y=   6285.42
  x=  1651.077  y=   6302.95
  x=  1650.291  y=   6157.27
  x=  1649.246  y=   6009.43
root@f753479266fc:/app#
