New Terminal Output:

python3 -c 'import py7zr; print(py7zr.__version__)' 2>&1 | head -2
/app/john/run/7z2john.pl
/app/john/run/opencl/7z_kernel.cl
/app/john/src/lzma/7zTypes.h
/app/john/src/7z_fmt_plug.c
/app/john/src/7z_fmt_plug.o
/app/john/src/7z_common.h
/app/john/src/7z_common_plug.c
/app/john/src/7z_common_plug.o
END
root@07a4b9808a04:/app# ls -la /app/john/run 2>/dev/null
total 82708
drwxr-xr-x 10 root root     4096 Jul  2 16:08 .
drwxr-xr-x 10 root root     4096 Jul  2 16:07 ..
-rwxr-xr-x  1 root root     4315 Jul  2 15:33 bitwarden2john.py
-rwxr-xr-x  1 root root     7754 Jul  2 15:33 bks2john.py
-rwxr-xr-x  1 root root     2940 Jul  2 15:33 blockchain2john.py
-rwxr-xr-x  1 root root    26864 Jul  2 16:08 calc_stat
-rwxr-xr-x  1 root root     2057 Jul  2 15:33 cardano2john.py
-rwxr-xr-x  1 root root    26774 Jul  2 15:33 ccache2john.py
drwxr-xr-x  2 root root     4096 Jul  2 15:33 ccl_chrome_indexeddb
-rwxr-xr-x  1 root root     7054 Jul  2 15:33 cisco2john.pl
-rwxr-xr-x  1 root root      898 Jul  2 15:33 codepage.pl
-rwxr-xr-x  1 root root     2830 Jul  2 15:33 coinomi2john.py
-rwxr-xr-x  1 root root   106848 Jul  2 16:08 cprepair
-rwxr-xr-x  1 root root      880 Jul  2 15:33 cracf2john.py
-rwxr-xr-x  1 root root     2573 Jul  2 15:33 dashlane2john.py
-rwxr-xr-x  1 root root     3771 Jul  2 15:33 deepsound2john.py
-rw-r--r--  1 root root     4099 Jul  2 15:33 dictionary.rfc2865
-rw-r--r--  1 root root   465097 Jul  2 15:33 digits.chr
-rwxr-xr-x  1 root root     7341 Jul  2 15:33 diskcryptor2john.py
-rwxr-xr-x  1 root root    72336 Jul  2 16:08 dmg2john
-rwxr-xr-x  1 root root     5249 Jul  2 15:33 dmg2john.py
drwxr-xr-x  2 root root     4096 Jul  2 15:33 dns
-rw-r--r--  1 root root    54555 Jul  2 15:33 dumb16.conf
-rw-r--r--  1 root root   109149 Jul  2 15:33 dumb32.conf
-rw-r--r--  1 root root    60347 Jul  2 15:33 dynamic.conf
-rw-r--r--  1 root root     8539 Jul  2 15:33 dynamic_disabled.conf
-rw-r--r--  1 root root     9542 Jul  2 15:33 dynamic_flat_sse_formats.conf
-rwxr-xr-x  1 root root     2053 Jul  2 15:33 ecryptfs2john.py
-rwxr-xr-x  1 root root     5081 Jul  2 15:33 ejabberd2john.py
-rwxr-xr-x  1 root root     9523 Jul  2 15:33 electrum2john.py
-rwxr-xr-x  1 root root     3625 Jul  2 15:33 encdatavault2john.py
-rwxr-xr-x  1 root root     2717 Jul  2 15:33 encfs2john.py
-rwxr-xr-x  1 root root     1107 Jul  2 15:33 enpass2john.py
-rwxr-xr-x  1 root root     1113 Jul  2 15:33 enpass5tojohn.py
-rwxr-xr-x  1 root root     3773 Jul  2 15:33 ethereum2john.py
-rwxr-xr-x  1 root root     1725 Jul  2 15:33 filezilla2john.py
-rw-r--r--  1 root root    99202 Jul  2 15:33 fuzz.dic
-rwxr-xr-x  1 root root     3324 Jul  2 15:33 fuzz_option.pl
-rw-r--r--  1 root root     8910 Jul  2 15:33 fvde2john.py
-rwxr-xr-x  1 root root     3439 Jul  2 15:33 geli2john.py
-rwxr-xr-x  1 root root     1867 Jul  2 15:33 genincstats.rb
-rwxr-xr-x  1 root root   190680 Jul  2 16:08 genmkvpwd
lrwxrwxrwx  1 root root        4 Jul  2 16:08 gpg2john -> john
-rwxr-xr-x  1 root root    60880 Jul  2 16:08 hccap2john
-rwxr-xr-x  1 root root     7096 Jul  2 15:33 hccapx2john.py
-rwxr-xr-x  1 root root      428 Jul  2 15:33 hexto
[... output limited to 10000 bytes; 70 interior bytes omitted ...]
1 root root     2578 Jul  2 15:33 mozilla2john.py
-rwxr-xr-x  1 root root     5440 Jul  2 15:33 multibit2john.py
-rwxr-xr-x  1 root root      942 Jul  2 15:33 neo2john.py
-rwxr-xr-x  1 root root     9676 Jul  2 15:33 netntlm.pl
-rwxr-xr-x  1 root root     5186 Jul  2 15:33 netscreen.py
-rwxr-xr-x  1 root root    11395 Jul  2 15:33 network2john.lua
-rwxr-xr-x  1 root root   133905 Jul  2 15:33 office2john.py
-rwxr-xr-x  1 root root     3072 Jul  2 15:33 openbsd_softraid2john.py
drwxr-xr-x  4 root root     4096 Jul  2 15:33 opencl
-rwxr-xr-x  1 root root     3911 Jul  2 15:33 openssl2john.py
-rwxr-xr-x  1 root root     3973 Jul  2 15:33 oracle2john.py
-rwxr-xr-x  1 root root     2046 Jul  2 15:33 oubliette2john.py
-rwxr-xr-x  1 root root     2844 Jul  2 15:33 padlock2john.py
-rwxr-xr-x  1 root root   203600 Jul  2 15:33 pass_gen.pl
-rw-r--r--  1 root root 15327454 Jul  2 15:33 password.lst
-rwxr-xr-x  1 root root    52809 Jul  2 15:33 pcap2john.py
-rwxr-xr-x  1 root root    59808 Jul  2 15:33 pdf2john.pl
-rwxr-xr-x  1 root root     4960 Jul  2 15:33 pdf2john.py
-rwxr-xr-x  1 root root     4901 Jul  2 15:33 pem2john.py
-rwxr-xr-x  1 root root     3329 Jul  2 15:33 pfx2john.py
-rwxr-xr-x  1 root root     9861 Jul  2 15:33 pgpdisk2john.py
-rwxr-xr-x  1 root root     2751 Jul  2 15:33 pgpsda2john.py
-rwxr-xr-x  1 root root     9647 Jul  2 15:33 pgpwde2john.py
-rw-r--r--  1 root root     6305 Jul  2 15:33 pkcs12kdf.py
-rwxr-xr-x  1 root root     4198 Jul  2 15:33 potcheck.pl
-rwxr-xr-x  1 root root     1462 Jul  2 15:33 prosody2john.py
drwxr-xr-x  2 root root     4096 Jul  2 15:33 protobuf
-rwxr-xr-x  1 root root     1438 Jul  2 15:33 ps_token2john.py
-rwxr-xr-x  1 root root     2480 Jul  2 15:33 pse2john.py
-rwxr-xr-x  1 root root    60136 Jul  2 16:08 putty2john
-rwxr-xr-x  1 root root     1686 Jul  2 15:33 pwsafe2john.py
-rwxr-xr-x  1 root root    41952 Jul  2 16:08 racf2john
-rwxr-xr-x  1 root root     7165 Jul  2 15:33 radius2john.pl
-rwxr-xr-x  1 root root     5926 Jul  2 15:33 radius2john.py
lrwxrwxrwx  1 root root        4 Jul  2 16:08 rar2john -> john
-rwxr-xr-x  1 root root    34808 Jul  2 16:08 raw2dyna
-rw-r--r--  1 root root     5712 Jul  2 15:33 regex_alphabets.conf
-rwxr-xr-x  1 root root     8377 Jul  2 15:33 relbench
-rw-r--r--  1 root root    54154 Jul  2 15:33 repeats16.conf
-rw-r--r--  1 root root   108843 Jul  2 15:33 repeats32.conf
-rwxr-xr-x  1 root root     1606 Jul  2 15:33 restic2john.py
-rwxr-xr-x  1 root root    16427 Jul  2 15:33 rexgen2rules.pl
drwxr-xr-x  2 root root     4096 Jul  2 15:33 rules
-rw-r--r--  1 root root   107926 Jul  2 15:33 rules-by-rate.conf
-rw-r--r--  1 root root   107977 Jul  2 15:33 rules-by-score.conf
-rwxr-xr-x  1 root root     2363 Jul  2 15:33 rulestack.pl
-rwxr-xr-x  1 root root     9541 Jul  2 15:33 sap2john.pl
-rwxr-xr-x  1 root root     1234 Jul  2 15:33 sense2john.py
-rwxr-xr-x  1 root root      544 Jul  2 15:33 sha-dump.pl
-rwxr-xr-x  1 root root      510 Jul  2 15:33 sha-test.pl
-rwxr-xr-x  1 root root    20433 Jul  2 15:33 signal2john.py
-rwxr-xr-x  1 root root      899 Jul  2 15:33 sipdump2john.py
-rwxr-xr-x  1 root root    10005 Jul  2 15:33 ssh2john.py
-rwxr-xr-x  1 root root    25114 Jul  2 15:33 sspr2john.py
-rwxr-xr-x  1 root root     3814 Jul  2 15:33 staroffice2john.py
-rw-r--r--  1 root root   107571 Jul  2 15:33 stats
-rwxr-xr-x  1 root root      760 Jul  2 15:33 strip2john.py
-rwxr-xr-x  1 root root    15588 Jul  2 15:33 telegram2john.py
-rw-r--r--  1 root root    20198 Jul  2 15:33 test_tezos2john.py
-rwxr-xr-x  1 root root    11581 Jul  2 15:33 tezos2john.py
-rwxr-xr-x  1 root root    36480 Jul  2 16:08 tgtsnarf
-rwxr-xr-x  1 root root     2769 Jul  2 15:33 tokenize.pl
-rwxr-xr-x  1 root root     3238 Jul  2 15:33 truecrypt2john.py
-rwxr-xr-x  1 root root    75296 Jul  2 16:08 uaf2john
lrwxrwxrwx  1 root root        4 Jul  2 16:08 unafs -> john
lrwxrwxrwx  1 root root        4 Jul  2 16:08 undrop -> john
lrwxrwxrwx  1 root root        4 Jul  2 16:08 unique -> john
-rw-r--r--  1 root root    21798 Jul  2 15:33 unisubst.conf
-rwxr-xr-x  1 root root     1087 Jul  2 15:33 unrule.pl
lrwxrwxrwx  1 root root        4 Jul  2 16:08 unshadow -> john
-rw-r--r--  1 root root   668568 Jul  2 15:33 upper.chr
-rw-r--r--  1 root root  1220961 Jul  2 15:33 uppernum.chr
-rw-r--r--  1 root root  9286825 Jul  2 15:33 utf8.chr
-rwxr-xr-x  1 root root     2250 Jul  2 15:33 vdi2john.pl
-rwxr-xr-x  1 root root     2185 Jul  2 15:33 vmx2john.py
-rwxr-xr-x  1 root root   227416 Jul  2 16:08 wpapcap2john
-rwxr-xr-x  1 root root     4576 Jul  2 15:33 zed2john.py
lrwxrwxrwx  1 root root        4 Jul  2 16:08 zip2john -> john
drwxr-xr-x  2 root root     4096 Jul  2 15:33 ztex
root@07a4b9808a04:/app# xxd /app/secrets.7z | head -20
bash: xxd: command not found
root@07a4b9808a04:/app# python3 -c 'import py7zr; print(py7zr.__version__)' 2>&1 | head -2
Traceback (most recent call last):
  File "<string>", line 1, in <module>
root@07a4b9808a04:/app#
root@07a4b9808a04:/app#
