New Terminal Output:

root@4758e662acd5:/app# cat > /app/explore2.py << 'EOF'
> import numpy as np, io
> with open('/app/graphene.dat') as f:
>     txt = f.read().replace(',', '.')
> data = np.loadtxt(io.StringIO(txt))
> x = data[:,0]; y = data[:,1]
> if x[0] > x[-1]:
>     x = x[::-1]; y = y[::-1]
> print('monotonic increasing:', np.all(np.diff(x)>0))
> print('x[:5]', x[:5])
> print('x[1670:1690]', x[1670:1690])
> print('--- G region x<1800 ---')
> m = x < 1800
> for xi, yi in zip(x[m], y[m]):
>     print(f'{xi:10.3f} {yi:10.3f}')
> EOF
  1737.412   4957.078
  1737.726   4908.964
  1738.040   4708.445
  1738.354   5016.029
  1738.669   4846.653
  1738.983   4838.781
  1739.298   4821.431
  1739.613   4875.766
  1739.929   4660.508
  1740.244   4461.894
  1740.560   4753.719
  1740.876   4567.794
  1741.192   4951.323
  1741.508   4470.129
  1741.825   4905.837
  1742.141   4408.370
  1742.458   4613.868
  1742.775   4648.661
  1743.093   4634.656
  1743.410   4596.671
  1743.728   4625.033
  1744.046   4319.780
  1744.364   4602.782
  1744.682   4660.377
  1745.001   4532.119
  1745.319   4552.226
  1745.638   4776.659
  1745.957   4850.698
  1746.277   4754.264
  1746.596   4750.163
  1746.916   4581.750
  1747.236   4679.247
  1747.556   4633.399
  1747.876   4741.109
  1748.197   4662.312
  1748.517   4573.987
  1748.838   4545.301
  1749.159   4617.459
  1749.481   4508.463
  1749.802   4787.188
  1750.124   4337.383
  1750.446   4295.367
  1750.768   4374.597
  1751.090   4586.162
  1751.413   4544.099
  1751.736   4730.602
  1752.058   4610.109
  1752.382   4407.248
  1752.705   4463.969
  1753.028   4740.430
  1753.352   4570.708
  1753.676   4490.818
  1754.000   4604.110
  1754.325   4472.259
  1754.649   4521.846
  1754.974   4816.156
  1755.299   4563.153
  1755.624   4597.621
  1755.950   4528.045
  1756.275   4348.786
  1756.601   4493.465
  1756.927   4519.737
  1757.253   4455.329
  1757.580   4537.602
  1757.906   4048.987
  1758.233   4118.787
  1758.560   4481.962
  1758.887   4386.757
  1759.215   4642.670
  1759.543   4600.504
  1759.870   4637.969
  1760.199   4799.315
  1760.527   4448.616
  1760.855   4513.551
  1761.184   4283.101
  1761.513   4360.673
  1761.842   4388.452
  1762.171   4619.126
  1762.501   4535.310
  1762.831   4493.967
  1763.161   4378.441
  1763.491   4610.883
  1763.821   4090.738
  1764.152   4169.215
  1764.483   4468.751
  1764.814   4669.483
  1765.145   4609.826
  1765.476   4500.624
  1765.808   4247.233
  1766.140   4279.134
  1766.472   4420.721
  1766.804   4252.028
  1767.137   4420.434
  1767.470   4395.203
  1767.802   4351.884
  1768.136   4329.417
  1768.469   4269.508
  1768.803   3998.784
  1769.136   4424.429
  1769.470   4424.535
  1769.805   4210.273
  1770.139   4249.789
  1770.474   4380.856
  1770.808   4467.072
  1771.144   4199.526
  1771.479   4277.163
  1771.814   4201.614
  1772.150   4129.320
  1772.486   4332.512
  1772.822   4265.009
  1773.159   4277.363
  1773.495   4188.020
  1773.832   4268.518
  1774.169   4460.118
  1774.506   4223.314
  1774.844   4339.735
  1775.181   4157.225
  1775.519   4259.867
  1775.857   4190.767
  1776.196   4305.050
  1776.534   4258.736
  1776.873   4128.108
  1777.212   4098.729
  1777.551   3868.551
  1777.890   4251.999
  1778.230   4125.081
  1778.570   4345.227
  1778.910   4194.094
  1779.250   4066.106
  1779.591   4176.964
  1779.932   4358.497
  1780.272   4338.239
  1780.614   4425.247
  1780.955   4204.096
  1781.297   3918.586
  1781.638   4183.885
  1781.981   4103.821
  1782.323   4026.101
  1782.665   3935.621
  1783.008   4227.828
  1783.351   3907.017
  1783.694   4503.987
  1784.038   4193.275
  1784.381   4178.786
  1784.725   4076.339
  1785.069   3957.795
  1785.413   3828.033
  1785.758   4032.651
  1786.103   3774.441
  1786.447   3894.396
  1786.793   3891.380
  1787.138   4049.650
  1787.484   4045.574
  1787.829   4331.430
  1788.176   3953.151
  1788.522   4131.831
  1788.868   4094.586
  1789.215   4217.511
  1789.562   4237.697
  1789.909   4045.017
  1790.257   3991.380
  1790.604   3814.367
  1790.952   3820.822
  1791.300   4072.874
  1791.649   3858.269
  1791.997   3937.928
  1792.346   4155.632
  1792.695   4066.210
  1793.044   4056.802
  1793.394   4074.757
  1793.744   4176.520
  1794.093   4053.910
  1794.444   3987.321
  1794.794   3878.187
  1795.145   3919.774
  1795.495   3982.420
  1795.847   3793.732
  1796.198   3845.753
  1796.549   3888.268
  1796.901   3950.121
  1797.253   4096.815
  1797.605   4047.878
  1797.958   3825.108
  1798.311   3877.483
  1798.663   3910.089
  1799.017   3880.715
  1799.370   3929.940
  1799.724   3739.175
root@4758e662acd5:/app#
